epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1925,0.66215,0.84943,0.83308,0.7642,0.68279,0.77782,0.58898,0.87426,1.0736,0.85693,5.152e-05,5.152e-05,5.152e-05
90,1944.8,0.68749,0.83983,0.83632,0.782,0.66631,0.78049,0.58959,0.87167,1.06305,0.85674,4.756e-05,4.756e-05,4.756e-05
91,1963.88,0.7203,0.85306,0.86875,0.77742,0.66885,0.78049,0.59103,0.87065,1.05436,0.85707,4.36e-05,4.36e-05,4.36e-05
92,1982.57,0.68252,0.81252,0.8672,0.77302,0.68514,0.76932,0.58377,0.87236,1.0494,0.85746,3.964e-05,3.964e-05,3.964e-05
93,2001.21,0.70639,0.89277,0.8619,0.77394,0.67819,0.76563,0.5759,0.87673,1.04465,0.85821,3.568e-05,3.568e-05,3.568e-05
94,2019.69,0.66599,0.82541,0.8534,0.77581,0.66879,0.76458,0.57386,0.88499,1.04571,0.86011,3.172e-05,3.172e-05,3.172e-05
95,2038.83,0.66474,0.80817,0.84752,0.81132,0.64678,0.76208,0.56996,0.88954,1.04743,0.86156,2.776e-05,2.776e-05,2.776e-05
96,2058.3,0.69148,0.81801,0.85008,0.82038,0.65233,0.7608,0.56846,0.89087,1.04902,0.86258,2.38e-05,2.38e-05,2.38e-05
97,2077.15,0.68233,0.85541,0.8563,0.82437,0.64949,0.75968,0.56871,0.88784,1.05135,0.86252,1.984e-05,1.984e-05,1.984e-05
98,2095.96,0.67429,0.78668,0.85167,0.82299,0.65004,0.75684,0.56699,0.88582,1.05524,0.86174,1.588e-05,1.588e-05,1.588e-05
99,2114.66,0.65961,0.80065,0.84664,0.82349,0.64913,0.75744,0.56863,0.8837,1.05716,0.86152,1.192e-05,1.192e-05,1.192e-05
100,2133.6,0.6871,0.83687,0.85381,0.83168,0.63812,0.75229,0.56293,0.88164,1.05755,0.86138,7.96e-06,7.96e-06,7.96e-06
